mid,name,type,address,lat,lng,region
31,수유재래시장,상설장,서울특별시 강북구 도봉로71길 26,37.63153319,127.0223292,서울
32,수유시장,상설장,서울특별시 강북구 도봉로67길 18,37.63073125,127.0226688,서울
33,고분다리전통시장,상설장,서울특별시 강동구 구천면로34길 13,37.54248857,127.1319259,서울
34,성내전통시장,상설장,서울특별시 강동구 천호대로162길 61,37.53416778,127.1278835,서울
35,명일전통시장,상설장,서울특별시 강동구 양재대로138길 20,37.54952811,127.1449523,서울
36,길동복조리시장,상설장,서울특별시 강동구 천중로52길 37,37.53907794,127.1438005,서울
37,청담삼익시장,상설장,서울특별시 강남구 학동로 101길 26,37.52244687,127.0576251,서울
38,신사상가,상설장,서울특별시 강남구 압구정로29길 72-1,37.53228744,127.028409,서울
39,강남시장,상설장,서울특별시 강남구 압구정로 2길 46,37.51876501,127.020678,서울
40,중곡제일시장(이오상사),상설장,서울특별시 광진구 긴고랑로11길 11,37.56391495,127.0813016,서울
41,신성종합시장(건물형),상설장,서울특별시 광진구 용마산로 50,37.55808066,127.088052,서울
42,광성시장,상설장,서울특별시 광진구 능동로 47길 30,37.56358171,127.0811202,서울
43,능동로골목시장,상설장,서울특별시 광진구 뚝섬로 30길 23,37.53517325,127.0666976,서울
44,조양시장(건물형),상설장,서울특별시 광진구 아차산로 30길 39,37.53899664,127.0674931,서울
45,노룬산시장(건물형),상설장,서울특별시 광진구 뚝섬로 491,37.5364717,127.0648885,서울
46,신림중앙시장,상설장,서울특별시 관악구 조원로16길 27,37.48314387,126.9114142,서울
47,원당종합시장,상설장,서울특별시 관악구 남부순환로248길 35,37.47441435,126.9659151,서울
48,신원시장,상설장,서울특별시 관악구 신원로3길 20-3,37.48206454,126.9273799,서울
49,신림현대종합상가,상설장,서울특별시 관악구 신림로 29길 3-20,37.47462597,126.9338049,서울
50,우림시장,상설장,서울특별시 관악구 난곡로 26길 19,37.47042842,126.9210041,서울
51,관악신사시장,상설장,서울특별시 관악구 관천로19길 89,37.48678805,126.9170747,서울
52,관악종합시장,상설장,서울특별시 관악구 신원로 23,37.4815694,126.9280588,서울
53,봉천중앙시장,상설장,서울특별시 관악구 관악로 211,37.48419585,126.954344,서울
54,인헌시장,상설장,서울특별시 관악구 남부순환로246나길 14,37.47486452,126.9647731,서울
55,봉일시장,상설장,서울특별시 관악구 은천로 28,37.48590008,126.9383891,서울
